"lang","country_alpha2_code","continent_code","continent"
"EN","AD","EU","Europe"
"EN","AE","AS","Asia"
"EN","AF","AS","Asia"
"EN","AG","NA","North America"
"EN","AI","NA","North America"
"EN","AL","EU","Europe"
"EN","AM","EU","Europe"
"EN","AO","AF","Africa"
"EN","AQ","AN","Antarctica"
"EN","AR","SA","South America"
"EN","AS","OC","Oceania"
"EN","AT","EU","Europe"
"EN","AU","OC","Oceania"
"EN","AW","NA","North America"
"EN","AX","EU","Europe"
"EN","AZ","AS","Asia"
"EN","AZ","EU","Europe"
"EN","BA","EU","Europe"
"EN","BB","NA","North America"
"EN","BD","AS","Asia"
"EN","BE","EU","Europe"
"EN","BF","AF","Africa"
"EN","BG","EU","Europe"
"EN","BH","AS","Asia"
"EN","BI","AF","Africa"
"EN","BJ","AF","Africa"
"EN","BL","NA","North America"
"EN","BM","NA","North America"
"EN","BN","AS","Asia"
"EN","BO","SA","South America"
"EN","BQ","NA","North America"
"EN","BR","SA","South America"
"EN","BS","NA","North America"
"EN","BT","AS","Asia"
"EN","BV","AN","Antarctica"
"EN","BW","AF","Africa"
"EN","BY","EU","Europe"
"EN","BZ","NA","North America"
"EN","CA","NA","North America"
"EN","CC","AS","Asia"
"EN","CD","AF","Africa"
"EN","CF","AF","Africa"
"EN","CG","AF","Africa"
"EN","CH","EU","Europe"
"EN","CI","AF","Africa"
"EN","CK","OC","Oceania"
"EN","CL","SA","South America"
"EN","CM","AF","Africa"
"EN","CN","AS","Asia"
"EN","CO","SA","South America"
"EN","CR","NA","North America"
"EN","CU","NA","North America"
"EN","CV","AF","Africa"
"EN","CW","NA","North America"
"EN","CX","AS","Asia"
"EN","CY","EU","Europe"
"EN","CZ","EU","Europe"
"EN","DE","EU","Europe"
"EN","DJ","AF","Africa"
"EN","DK","EU","Europe"
"EN","DM","NA","North America"
"EN","DO","NA","North America"
"EN","DZ","AF","Africa"
"EN","EC","SA","South America"
"EN","EE","EU","Europe"
"EN","EG","AF","Africa"
"EN","EH","AF","Africa"
"EN","ER","AF","Africa"
"EN","ES","EU","Europe"
"EN","ET","AF","Africa"
"EN","FI","EU","Europe"
"EN","FJ","OC","Oceania"
"EN","FK","SA","South America"
